Cohort Year,Graduation Rate Type,LEA Entity ID,LEA Name,School Entity ID,School Name,County,Subgroup,Number Graduated,Number in Cohort,Percent Graduated
2010,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Students With Disabilities,*,*,*
2010,4 Year,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,White,*,*,*
2010,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,All,37,75,49.3
2010,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Asian,*,*,*
2010,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Economically Disadvantaged,20,44,45.5
2010,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Female,23,38,60.5
2010,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Hispanic or Latino,*,16,43.8
2010,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Limited English Proficient,*,*,*
2010,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Male,14,37,37.8
2010,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Migrant,*,*,*
2010,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Students With Disabilities,*,*,*
2010,4 Year,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,White,30,58,51.7
2010,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,All,41,125,32.8
2010,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Asian,*,*,*
2010,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Black/African American,*,*,*
2010,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Economically Disadvantaged,31,94,33.0
2010,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Female,20,63,31.8
2010,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Hispanic or Latino,23,93,24.7
2010,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Limited English Proficient,*,18,11.1
2010,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Male,21,62,33.9
2010,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Migrant,*,*,*
2010,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Native American ,*,*,*
2010,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Students With Disabilities,*,*,*
2010,4 Year,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,White,14,23,60.9
2010,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,All,128,167,76.7
2010,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Asian,*,*,*
2010,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Black/African American,11,16,68.8
2010,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Economically Disadvantaged,28,41,68.3
2010,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Female,65,81,80.3
2010,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Hispanic or Latino,33,45,73.3
2010,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Limited English Proficient,*,*,*
2010,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Male,63,86,73.3
2010,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Migrant,*,*,*
2010,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Native American ,*,*,*
2010,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Students With Disabilities,12,14,85.7
2010,4 Year,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,White,75,95,79.0
2010,4 Year,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,All,128,192,66.7
2010,4 Year,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,Asian,*,*,*
2010,4 Year,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,Black/African American,21,23,91.3
2010,4 Year,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,Economically Disadvantaged,108,166,65.1
2010,4 Year,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,Female,64,87,73.6
2010,4 Year,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,Hispanic or Latino,85,139,61.2
2010,4 Year,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,Limited English Proficient,*,16,37.5
2010,4 Year,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,Male,64,105,61.0
2010,4 Year,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,Migrant,*,*,*
2010,4 Year,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,Native American ,*,*,*
